period_type,hour,crime_count,is_peak,month,display,year,pct_change,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,TIME_BLOCK,OCC_DOW,MCI_CATEGORY,count
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-23h,Monday,Crimes Against Person,17154.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-23h,Monday,Other Crimes,9434.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-23h,Monday,Theft Over,530.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-23h,Saturday,Crimes Against Person,17782.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-23h,Saturday,Other Crimes,9141.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-23h,Saturday,Theft Over,558.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-23h,Sunday,Crimes Against Person,16444.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-23h,Sunday,Other Crimes,8885.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-23h,Sunday,Theft Over,485.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-23h,Thursday,Crimes Against Person,17014.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-23h,Thursday,Other Crimes,10177.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-23h,Thursday,Theft Over,600.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-23h,Tuesday,Crimes Against Person,17241.0
timeblock_dow_cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-23h,Tuesday,Other Crimes,9764.0
